Manufacturer Part Number,Quantity,Layer

"691805010303","1","Bottom"
"AP63300WU-7","1","Top"
"APT3216LZGCK","2","Bottom"
"B340A-13-F","1","Top"
"CAPA_CMS_10uF_50V_1206_10%_X7R","1","Top"
"CAPA_CMS_22uF_16V_0805_10%_X5R","5","Top, Bottom"
"CAPA_CMS_47pF_50V_0603_5%_X7R","1","Top"
"CAPA_CMS_100nF_50V_0603_5%_X7R","3","Top, Bottom"
"CAPA_CMS_220pF_50V_0603_10%_X7R","1","Bottom"
"E7-HOME-AA01","1","None"
"E9-HOME-AA01","1","None"
"MCP2025-330E/SN","1","Bottom"
"MMBZ27VAL-7-F","1","Bottom"
"RES_CMS_0_1/10W_0603_1%","2","Top"
"RES_CMS_1K5_1/8W_0805_0.1%","1","Bottom"
"RES_CMS_30K1_1/10W_0603_1%","2","Top, Bottom"
"RES_CMS_158K_1/16W_0603_1%","1","Top"
"RES_CMS_330_1/10W_0603_5%","1","Bottom"
"SRN5040TA-6R8M","1","Top"
"TSM-104-01-L-SV-P-TR","1","Top"
"TSM-105-01-F-SV","1","Top"
